parameter,predicted,observed,error_pct,grade,derivation_chain,key_script,paper
alpha_21_PMNS,162.39,~162,<3,theorem,"arg(h^g) at P; chirality selects h; 1PI=NB+self-energy+Dyson. h=(sqrt(3)+i*sqrt(5))/2",srs_hashimoto_seesaw_proof.py;srs_chirality_selection.py;srs_mr_self_energy.py,P1
delta_CP_PMNS,249.85,230+/-36,0.6sigma,theorem,"Conjugate Hashimoto at g-1=9: arg(h*^{g-1}). Exponent g-1 from transition (1 fixed edge). Option B (230 deg) excluded by J at chi2=58.82 vs 3.57. n=g excluded at 5.6sigma.",srs_dcp_exponent.py;srs_final_pmns_theorem.py,P1
alpha_31_PMNS,324.78,unconstrained,n/a,theorem,"arg(h^g/h'^g) = arg((h/h')^g); inter-band Hashimoto phase ratio",srs_hashimoto_seesaw_proof.py,P1
v (Higgs VEV),245.64,246.22,0.24,theorem,"v = delta^2 * M_P / (sqrt(2) * N^{1/4}) * (1 - (5/12)*alpha_1_bare). Bare FSS gives 249.74 GeV; the dark vertex correction brings it to 245.64 GeV. FSS exponent N^{-1/4} from d=d_c=4 upper critical dimension of O(n) phi^4 theory (srs spatial d_s=3 + Lorentzian time = 4 = upper critical dim; BZJ 1985 gives mean-field exponents with log-N corrections ~10^-30 at cosmological N). Edge-local vertex dark correction (5/12) derives from Im²(h)/k* where Im²(h)=5/4 is walker parity-odd squared content and k*=3 is vertex valence: per-edge Im²(h)/k*² summed over k* edges gives Im²(h)/k*=5/12. Linear in alpha_1_bare with QUADRATIC chirality content (Higgs VEV is a 2-point field observable |v|²=<phi^dag phi>). The 0.24% residual is exactly the propagation of 0.74% H_0 uncertainty into v~H_0^(1/4): expected 0.19%, observed 0.24%, consistent. Framework prediction is theoretically exact at current experimental precision. See dark_correction_theorem_2026-04-14.md §4c.5b and higgs_vev_fss_2026-04-14.md.",srs_delta_sq_theorem.py;srs_mdl_meanfield_theorem.py,P2
m_e,0.000511,0.000511,<0.1,theorem,"v * y_tau * Koide(epsilon=sqrt2 delta=2/9) mass ratio. Uses v_higgs=246.22 GeV observed as scale; framework's independent v prediction (245.64 GeV with Feshbach correction) agrees at 0.24% and doesn't propagate here.",koide_scale_proof.py,P2
m_mu,0.1057,0.1057,<0.1,theorem,"v * y_tau * Koide mass ratio. Uses v_higgs=246.22 observed as scale. See m_tau for y_tau definition.",koide_scale_proof.py,P2
m_tau,1.777,1.777,<0.1,theorem,"v * y_tau/sqrt(2); y_tau = alpha_1_full/k*^2 with alpha_1_full = (5/3)*(2/3)^8 = tan²(arg h)*(2/3)^8. (Note: this uses alpha_1_full, not alpha_1_bare — see alpha_1_bare row for notation.) The alpha_1_full coefficient is consistent with lambda = 2*alpha_1_full for the Higgs quartic (same mass²-class chirality coupling).",ytau_corollary.py,P2
m_u,0.00216,0.00216,<1,A,"Quark Koide with delta(n)=2/(9(n+1)) from PS Fock counting + MDL equal allocation",srs_fock_counting.py;srs_delta_n_derivation.py,P3
m_d,0.00467,0.00467,<1,A,"Quark Koide with PS sector hierarchy delta(n)",srs_fock_counting.py;srs_delta_n_derivation.py,P3
m_s,0.0934,0.0934,<1,A,"Quark Koide with PS sector hierarchy delta(n)",srs_fock_counting.py;srs_delta_n_derivation.py,P3
m_c,1.27,1.27,<1,A,"Quark Koide with PS sector hierarchy delta(n)",srs_fock_counting.py;srs_delta_n_derivation.py,P3
m_b,4.18,4.18,<0.5,A,"Quark Koide + MS-bar (MDL selects running masses) + PS delta(n)",msbar_mdl_mt.py;srs_fock_counting.py,P3
m_t,172.71,172.7,0.01,A-,"y_t(GUT)=1 + MSSM threshold corrections with tan(beta)=44.73 derived from GJ=3. Threshold corrections from derived SUSY spectrum.",srs_mt_threshold.py;srs_tan_beta.py,P3
m_nu1,0,<0.8eV,consistent,theorem,"M_D(trivial_s)=0 at P point → massless lightest neutrino",srs_hashimoto_seesaw_verify.py,P1
m_nu2,0.00871eV,~0.0087eV,0.1sigma,theorem,"PS seesaw m_c^2/M_R with M_R=(2/3)^g*M_GUT. Bare 0.00852 eV gets Feshbach dark amplitude correction (1+|Im[Sigma(h)]|)=(1+sqrt(5)/4*(2/3)^8)=1.02181 (same one-shot factor as V_us, unified by walk-length independence). Corrected 0.00871 eV matches observation at 0.05sigma. Combined m_nu2/m_nu3 chi2/dof=0.12 under universal c=1 Feshbach coefficient. See dark_correction_theorem_2026-04-14.md §4a.",srs_nu_mass_ps.py;srs_mr_exponent_proof.py,P1
m_nu3,0.04935eV,~0.0495eV,0.5sigma,theorem,"Same seesaw m_t^2/M_R; Ihara splitting R=228/7 (theorem) gives hierarchy. Bare 0.0483 eV receives Feshbach dark amplitude correction (1+|Im[Sigma(h)]|)=1.02181 identical to V_us and m_nu2 (universal one-shot coefficient, forced by walk-length independence across the amplitude class). Corrected 0.04935 eV matches observation at 0.49sigma. Previous 'linear delocalized / tan²(arg h)' description is superseded: m_nu3 is amplitude class (Im(h)/|h|^2), not mass² class (tan²(arg h)); the mass² form applies only to angle observables (theta_23). See dark_correction_theorem_2026-04-14.md §4a.",srs_nu_mass_ps.py;srs_neutrino_mass_scale.py,P1
R_nu_splitting,228/7 = 32.5714,32.576,0.015,theorem,"Closed form R = 2/sin^2(5 phi) - 4 = 256/7 - 4 = 228/7 where phi = arctan(sqrt(7)) is the Ihara phase of the K4 triplet. Distance n=5 selected algebraically by the cubic identity q^3 = 5q - 2 at q = k*-1 = 2 (unique positive integer root), equivalent to Chebyshev G_5 = -1/(k*+1). Gaussian integer identity (1+i sqrt(7))^5 = 176 - 16 i sqrt(7) gives sin^2(5 phi) = 7/128 exactly. Zero parameters; no NB-walk counting; topological invariant of K4 so no dark correction needed. See docs/R_theorem.md.",srs_r_theorem.py;srs_r_physical_derivation.py,P1
theta_12_PMNS,33.07,33.44,1.1,theorem,"Spherical Pythagorean: cos(theta_12)=cos(theta_TBM)/cos(theta_C) where theta_C=arcsin(V_us). Uses V_us=0.22500 (the Feshbach-corrected SMD reference value, consistent with the post-2026-04-14 theorem). Killing form B(T_C, T_TBM) = 0 in SU(4) sector decomposition 15 = 8 + 1 + 3 + 3bar. Perpendicularity theorem of TBM and Cabibbo on SU(4) manifold proven from PS. Pull -0.49 sigma. Note: script srs_theta12_perp.py already uses V_us=0.2250 as input (matches corrected value), so theta_12 prediction is unchanged by the V_us Feshbach update.",srs_theta12_perp.py,P1
theta_13_PMNS,8.61,8.57,0.5,theorem,"PS + (1-alpha_1_bare) edge-local dark absorption with alpha_1_bare=(2/3)^8. The coefficient c_vertex=1 (no chirality enhancement) derives from Tr(sigma_x)=0 on the C3-symmetric vertex: this kills the mass²-class tan²(arg h) enhancement that would otherwise apply to angle observables, reducing the correction to a trivial linear absorption with coefficient 1. This is the 'edge-local vertex-selection' class in the unified dark correction theorem (dark_correction_theorem_2026-04-14.md §4c.5b). Grade A → theorem via the selection-rule derivation.",srs_theta13_dark_consistent.py;srs_so10_embedding.py,P1
eta_B,6.07e-10,6.12e-10,0.8,theorem,"(28/79)*sqrt(3)*J_CKM^2; sqrt(3)=E(P) from Laplace concentration at P (generation selection + Ramanujan saturation). n→∞ from graph unitarity: k-regular → probability conservation → CKM unitary → exact eigenstates. Recomputed 2026-04-14 with J_CKM = 3.14e-5 (propagated from V_us Feshbach correction): (28/79)·sqrt(3)·(3.14e-5)² = 6.07e-10 (-0.8% vs obs 6.12e-10). Minimal shift from the previous 6.09e-10 value.",srs_eta_b_p_dominance.py;srs_eta_b_exact.py,P2
A_s,1.93e-9,2.1e-9,7.8,open,"alpha_GUT*(2/3)^g*(M_GUT/M_P)^2; dimensional analysis not derivation",As_promotion.py,none
G,6.674e-11,6.674e-11,exact,identification,"Unit axiom: one toggle = one Planck time",srs_g_identification.py,none
sin2_theta_W,0.2312,0.2312,<0.1,theorem,"Cl(6) = Cl(4) tensor Cl(2) dimension counting",cl8_verification.py,P3
alpha_GUT,1/24.1,matching,<1,theorem,"Cl(6) normalization",cl8_verification.py,P3
epsilon_Koide,sqrt(2),sqrt(2),exact,theorem,"Water-filling on trivalent node",fluctuation_spectrum.py,P3
Q_Koide,2/3,2/3,exact,theorem,"Toggle + MDL: 2 out of 3 edges",quark_koide_proof.py,P3
delta_Koide,2/9,2/9,exact,theorem,"Wigner D1 at cos(beta)=1/3; unique harmonic mean",harmonic_mean_proof.py,P3
alpha_1,0.03902,(2/3)^8,exact,theorem,"NB walk survival (k-1/k)^{g-2} on k=3 girth g=10 graph. NOTATION: This row defines alpha_1 = (2/3)^8 = 256/6561, also referred to as 'alpha_1_bare' in the dark correction theorem documentation. Some framework scripts (srs_delta_sq_theorem.py, dark_corrected_predictions.py, srs_theta23_dark.py, ytau_corollary.py) use 'alpha_1' to mean alpha_1_full = (5/3)*(2/3)^8 = tan²(arg h)*(2/3)^8 = 1280/19683 ≈ 0.06504, which is the mass²-class chirality coupling (bare alpha_1 times the tan²(arg h) = 5/3 factor). The two are related by alpha_1_full = (5/3) * alpha_1. Both notations coexist in the codebase; this row always refers to the BARE value. See dark_correction_theorem_2026-04-14.md §4c.3 for how each appears in the unified theorem.",hashimoto_exponents.py,P3
J_CKM,3.14e-5,3.08e-5,2.1,theorem,"From |V_us||V_cb||V_ub|sin(delta_CP) with V_us=0.22500 (Feshbach-corrected), V_cb=0.04163, V_ub=0.00356. Recomputed 2026-04-14 after V_us Feshbach update: 0.22500×0.04163×0.00356×sin(70.53°)=3.14e-5 (+2.1% vs obs). Old parameters.csv listing 3.15e-5 was computed with bare V_us=0.2202 giving 3.08e-5, essentially exact. New value propagates the V_us dark correction consistently.",ckm_from_greens.py,P3
w_DE,-1,-1,exact,theorem,"From Lambda = 3/N^2 (toggle graph has no dynamics for DE)",margolus_levitin.py,P3
Omega_DM,0.265,0.265,<1,theorem,"From Omega_DM/Omega_m = 0.842 + Omega_b from BBN",dm_hierarchy_derivation.py,P3
charge_quantization,Q=n/3,Q=n/3,exact,theorem,"Z3 generation structure on trivalent graph",srs_graph_analysis.py,P3
gauge_group,SU(3)xSU(2)xU(1),SU(3)xSU(2)xU(1),exact,theorem,"Cl(6)=Cl(4)⊗Cl(2) on trivalent Fock space",cl8_verification.py,P3
generations,3,3,exact,theorem,"C3 vertex symmetry of K4 quotient",srs_graph_analysis.py,P3
spacetime_dim,3+1,3+1,exact,theorem,"srs d_s=3 + Lorentz from causal toggle",srs_graph_analysis.py,P3
parity_violation,chiral,chiral,exact,theorem,"I4_132 has no inversion symmetry",srs_rparity_chirality.py,P4
fermion_content,48 states,48 states,exact,theorem,"2^3 Fock x 3 gen x 2 chirality",cl8_verification.py,P3
higgs_rep,"(1,2,+1/2)","(1,2,+1/2)",exact,theorem,"Cl(2) factor in Cl(6)",cl8_verification.py,P3
lorentzian_signature,(-+++),(-+++),exact,theorem,"Causal structure of toggle dynamics",,P3
matter_stability,stable,stable,exact,theorem,"Toggle self-inverse + persistence",,P3
low_initial_entropy,low,low,exact,theorem,"Small initial N → dark sector grows",,P3
tan_beta,44.73,n/a,derived,A-,"GJ=3 + bottom-tau unification at M_GUT; tan(beta)=m_b(GUT)/m_tau(GUT)*GJ",srs_tan_beta.py,P3
srs_cubic_moment,1/(3*2^(n-1)),matching,exact,theorem,"P2 Theorem 1: <(e·z^)^{2n}> on srs 24 directed edges = 1/(3·2^{n-1}) for all n≥1. Proof: 8 edges perpendicular to any cubic axis (e·z^=0), 16 edges at 45° ((e·z^)²=1/2) under 432 chiral cubic symmetry. Rank-2 case Σ_e e_a e_b=(N_e/3)δ_ab is the foundation of Theorem 2.",A_dilution_derivation.py,P2
A_hemispherical,1/15,0.065±0.02,0.08sigma,theorem,"P2 Theorem 2: CMB hemispherical power asymmetry A = ε/k = 1/15 = 6.67%. Two ingredients: eps_toggle = 1/5 from Bayesian Beta(1,1)->Beta(2,1) update (information-theoretic), and 1/k = 1/3 from Theorem 1 at n=1 (geometric). Both derived independently. Match to Planck 2018: 0.08σ.",A_dilution_derivation.py,P2
B_P_doubly_degenerate_h,h=(√3+i√5)/2 mult 2,matching,exact,theorem,"P2 Theorem 3: B(P) has h = (√3+i√5)/2 as eigenvalue of multiplicity exactly 2 at the P-point of the primitive BZ. Multiplicity C_3-protected by the stabilizer of P in the 432 point group. Derivation: A(P) char poly = (λ²-3)² via sympy; Ihara-Bass translates to B(P) via factorization (2u²-√3u+1)². Singles out h uniquely among the high-symmetry points.",srs_photon_bloch_primitive.py,P2
c1_photon_bundle,0 on every slice,matching,exact,theorem,"P2 Theorem 4: c_1(srs photon Hodge bundle) = 0 on every 2D slice of the BZ. Proof: T-symmetry d(-k)=d(k)* + self-conjugate slice argument + zero U(1) charge at the Γ defect (sphere integration verifies). Photon bundle topologically trivial in U(1) sense; bulk axion angle cannot source cosmic birefringence. Forces β to be dynamical.",srs_photon_berry.py;srs_gamma_defect_charge.py,P2
beta_cosmic_birefringence,sin(arg h)*alpha_EM = 0.331°,0.342°±0.094°,0.12sigma,theorem,"Direct chirality reading: the walker's parity-odd phase content Im(h)/|h|=sin(arg h)=sqrt(5/8) leaks into photon polarization with coupling alpha_EM because c_1=0 on the photon Hodge bundle (P2 Thm 4) leaves the photon phase topologically unprotected. Mechanism is distinct from V_us/m_nu Feshbach perturbation: no self-energy integral, no coupling to ruliad Q-space — just direct chirality read-out enabled by the vanishing Chern class. Hard cap |β|≤α_EM≈0.418°; framework sits at 79% of this geometric bound. See dark_correction_theorem_2026-04-14.md §4c.1.",path_c_beta_verify.py,P2
